group_id,pred_choice,conf,best_time,pred_time,baseline_time,regret_strict,speedup_vs_baseline_strict,regret,speedup_vs_baseline
397,vec_pragma,0.7768747210502625,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
398,vec_pragma,0.7828812003135681,2e-06,2e-06,1.1e-05,1.0,5.5,1.0,5.497751124437781
399,vec_pragma,0.6120958924293518,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
400,vec_pragma,0.6245164275169373,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
401,vec_pragma,0.629707932472229,2e-06,2e-06,1.1e-05,1.0,5.5,1.0,5.497751124437781
402,vec_pragma,0.5206891894340515,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
403,vec_pragma,0.5307938456535339,2e-06,2e-06,1e-05,1.0,5.000000000000001,1.0,4.998000999500251
404,vec_pragma,0.5324752330780029,2e-06,2e-06,1.05e-05,1.0,5.25,1.0,5.2478760619690155
405,vec_pragma,0.9743430018424988,4e-06,4e-06,1.9e-05,1.0,4.750000000000001,1.0,4.749062734316421
406,vec_pragma,0.9803029298782348,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
407,vec_pragma,0.9820359349250792,4e-06,4e-06,1.9e-05,1.0,4.750000000000001,1.0,4.749062734316421
408,vec_pragma,0.9443318843841552,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
409,vec_pragma,0.9575470089912416,4e-06,4e-06,1.9e-05,1.0,4.750000000000001,1.0,4.749062734316421
410,vec_pragma,0.9612802267074584,3e-06,3e-06,1.9e-05,1.0,6.333333333333334,1.0,6.331556147950683
411,vec_pragma,0.9124764800071716,3.5e-06,3.5e-06,1.85e-05,1.0,5.285714285714286,1.0,5.284490145672664
412,vec_pragma,0.9342832565307616,4e-06,4e-06,1.9e-05,1.0,4.750000000000001,1.0,4.749062734316421
413,vec_pragma,0.9401294589042664,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
414,vec_pragma,0.9410342574119568,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
415,vec_pragma,0.9522340893745422,3e-06,3e-06,1.9e-05,1.0,6.333333333333334,1.0,6.331556147950683
416,vec_pragma,0.9555212259292604,3e-06,3e-06,1.85e-05,1.0,6.166666666666666,1.0,6.164945018327224
417,vec_pragma,0.8829488158226013,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
418,vec_pragma,0.9051438570022584,4e-06,4e-06,1.9e-05,1.0,4.750000000000001,1.0,4.749062734316421
419,vec_pragma,0.9112163782119752,4e-06,4e-06,1.9e-05,1.0,4.750000000000001,1.0,4.749062734316421
420,vec_pragma,0.8246514201164246,4e-06,4e-06,1.85e-05,1.0,4.625,1.0,4.624093976505874
421,vec_pragma,0.8551619648933411,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
422,vec_pragma,0.8646193742752075,4e-06,4e-06,1.9e-05,1.0,4.750000000000001,1.0,4.749062734316421
423,vec_pragma,0.8944007754325867,3e-06,3e-06,1.9e-05,1.0,6.333333333333334,1.0,6.331556147950683
424,vec_pragma,0.912253439426422,3e-06,3e-06,1.9e-05,1.0,6.333333333333334,1.0,6.331556147950683
425,vec_pragma,0.9183324575424194,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
426,vec_pragma,0.7974172234535217,3e-06,3e-06,1.85e-05,1.0,6.166666666666666,1.0,6.164945018327224
427,vec_pragma,0.8244647979736328,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
428,vec_pragma,0.8323089480400085,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
429,vec_pragma,0.7071260809898376,3.5e-06,3.5e-06,1.9e-05,1.0,5.428571428571429,1.0,5.427306483861754
430,vec_pragma,0.740918755531311,3.5e-06,3.5e-06,1.85e-05,1.0,5.285714285714286,1.0,5.284490145672664
431,vec_pragma,0.7530580163002014,3e-06,3e-06,1.9e-05,1.0,6.333333333333334,1.0,6.331556147950683
432,vec_pragma,0.8439418077468872,2e-06,2e-06,2.5e-06,1.0,1.2500000000000002,1.0,1.2498750624687658
433,vec_pragma,0.8463842868804932,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
434,vec_pragma,0.8475710153579712,2e-06,2e-06,2.5e-06,1.0,1.2500000000000002,1.0,1.2498750624687658
435,vec_pragma,0.6936808228492737,2e-06,2e-06,2.5e-06,1.0,1.2500000000000002,1.0,1.2498750624687658
436,vec_pragma,0.6976089477539062,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
437,vec_pragma,0.6995593309402466,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
438,vec_pragma,0.6225549578666687,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
439,vec_pragma,0.6278241872787476,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
440,vec_pragma,0.6304382085800171,2e-06,2e-06,3e-06,1.0,1.5,1.0,1.4997501249375313
441,vec_pragma,0.7031157612800598,2e-06,2e-06,2.5e-06,1.0,1.2500000000000002,1.0,1.2498750624687658
442,vec_pragma,0.7071577906608582,2e-06,2e-06,2.5e-06,1.0,1.2500000000000002,1.0,1.2498750624687658
